"index	문자내용",,,
"ham	어제 강원도가서 대게세트 大 짜리 2개를 시켰는데 이만큼 나오더라고요 ",,,
"ham	사진",,,
"ham	물론 회나 매운탕 기타 등등 있었지만 36만원어치 대게 양이 서운하더라고요",,,
"ham	18만원 ㄷㄷ",,,
"ham	나가서 킹크랩을 먹고 말지",,,
"ham	눈탱이 맞은거죠ㅠ",,,
"ham	와진짜잘나오는거아닌가요",,,
"ham	비싼거죠",,,
"ham	헉너무비싼",,,
"ham	20만원치 성인4명 게로 배채움",,,
"ham	사진",,,
"ham	전이거한마리18만원이였는데",,,
"ham	제가눈탱이였나 :(",,,
"ham	[PN풍년 본사운영",,,
"ham	도주님 위에 올웨이즈요",,,
"ham	@도라에몽 주머니 ",,,
"ham	눈탱이요",,,
"ham	이모티콘",,,
"ham	LG전자 룸앤TV 텐바이텐 특가",,,
"ham	소래포구눈탱이확인",,,
"ham	소래포구 랑 가까워서",,,
"ham	석화 잔뜩 사왔엇는데",,,
"ham	ㅠㅠ",,,
"ham	소래포구에서 킹크랩도 자주사먹으러가는데",,,
"ham	https://pcms.kakao.com/pcms/documents/0106ca85-55f9-4721-86fd-621df69c58d7?ad=triple_talkdeal_banner&area=br&_=1649059628218#none",,,
"ham	눈탱이인가봐요",,,
"ham	사진",,,
"ham	환영합니다???? ",,,
"ham	어서오세요 ~~",,,
"ham	@안녕 ??공지 읽어주시고 하트꾹?",,,
"ham	https://msearch.shopping.naver.com/catalog/16765311108?NaPm=ct%3Dl1kfr0wo%7Cci%3D56b2e457ff49efcd6f97cbc92c86640d1d9f9437%7Ctr%3Dsls%7Csn%3D95694%7Chk%3Db768f21ebab3cb85ce97a5ecb9c1f5560123823b&cat_id=50004198&frm=MOSCPRO&query=fs123mbl&sort=LOW_PRICE",,,
"ham	사진",,,
"ham	커여워.♥",,,
"ham	[모바일 11번가]",,,
"ham	혹시 방역택시 타보신분계신가용?",,,
"ham	비싸요",,,
"ham	방역택시 아직 운영하나요??",,,
"ham	넹넹",,,
"ham	에서 병원왕복에 추가 5만원? 이래용",,,
"ham	아직 미터기돌아가고있는데 ",,,
"ham	콜비랑 방역비 포함해서 그런다네요 ㅜㅜ",,,
"ham	급해죽겠어여.",,,
"ham	넹넹 그런가바여",,,
"ham	http://www.11st.co.kr/products/3895621308/share",,,
"ham	https://ozip.me/9aBgmtw",,,
"ham	사진",,,
"ham	방역택시 조금가는데 5만원넘는다던데.",,,
"ham	샵검색 : #방역택시",,,
"ham	[일류농사꾼",,,
"ham	어후 저는 인천에서 인천인데ㅜㅜㅜㅜ 차타면 12분거리를 6만원넘어갔을거같아영 지금쯤",,,
"ham	어휴.",,,
"ham	https://m.mt.co.kr/renew/view.html?no=2022040411061829221&view",,,
"ham	https://m.seoul.co.kr/news/newsView.php?id=20220404500128&wlog_tag1=kakaov",,,
"ham	https://v.kakao.com/v/EzoDCCUbaD",,,
"ham	@달봄이팬클럽 @로사마켓  조심해요 ㅠㅠㅠ",,,
"ham	에몽님 저 아니고",,,
"ham	@봄봄띠??",,,
"ham	달봄이랑 계속 노나보다.",,,
"ham	아뭐야",,,
"ham	놀래라 ;;;",,,
"ham	헷갈려요 ㅠㅠ",,,
"ham	7900 100매 ",,,
"ham	2520원",,,
"ham	2520원",,,
"ham	2520원",,,
"ham	제주도 찐맛 추천해주세요 ㅎ",,,
"ham	5월말에 부산제주 비행기 왕복 13만원이면 평타겠죠?",,,
"ham	싸다",,,
"ham	싸네요",,,
"ham	일욜출발 화욜복귀하려구요 ㅎ",,,
"ham	사진",,,
"ham	코로나 터지기전 왕복 7만원이면 가능했는데",,,
"ham	평일치곤 비싸네요",,,
"ham	이마트에브리데이 3일간만~",,,
"ham	14.900원 무배",,,
"ham	@하루 강아지오줌딱는휴지!!",,,
"ham	ㅋ",,,
"ham	이거 냄새 나고 넘 좋아용 진짜싸네여 ",,,
"ham	(제발)",,,
"ham	gs25 아이스아메리카노 50%카드할인하더라구요",,,
"ham	그래서 기분이 좋았는데 한모금도 못마시고 쏟았어여ㅜㅜㅜㅜㅜ",,,
"ham	ㅠㅠ",,,
"ham	한번더할인안되겠죠?",,,
"ham	ㅠㅠ맴찢",,,
"ham	그니깐여",,,
"ham	한번더할인될까요?",,,
"ham	이모티콘",,,
"ham	알뜰님은 컴퓨터사셔쓔?",,,
"ham	헐",,,
"ham	웜마",,,
"ham	http://naver.me/xzidgfvd",,,
"ham	닭가슴살 30개 11900원",,,
"ham	아니요. 아 맞다 제가 아예 컴퓨터에 대해 몰라서 그러는데 조립pc면 직접 조립해야되는건가여?",,,
"ham	ㅜㅜㅜㅜㅜㅜㅜㅜ내아아ㅜㅜㅜ",,,
"ham	개당 400원도 안되네요",,,
"ham	조립피씨는 조립되서나오는거에유",,,
"ham	아하 아직 어느정도 적당한 가격에 찾고있어여",,,
"ham	얼마정도유?",,,
"ham	100이상?",,,
"ham	지금이 제격이긴해유 그래픽도떨어지그래서유",,,
"ham	진짜여",,,
"ham	이모티콘",,,
"ham	아직등처먹으려고 하는곳도있긴한디",,,
"ham	등처 ",,,
"ham	이모티콘",,,
"ham	혹시 사이트알려주실수있어여?",,,
"ham	다나와pc견적이유",,,
"ham	넴",,,
"ham	사진 2장",,,
"ham	부품 대즁적인거 선택하고 역경매같은거하심될텐데",,,
"ham	오",,,
"ham	모르시면 도움드릴게유",,,
"ham	네네ㅜㅜㅜㅜ감사합니다",,,
"ham	조립은 3만원인가내믄 다해줘유",,,
"ham	아하",,,
"ham	매장가서 사는것보단 저기서 보고사는게 낫겠죠?",,,
"ham	게임은뭐하세유?",,,
"ham	오버워치 배그정도?",,,
"ham	그래픽카드 재포장 넣는 소리도 잇어서 믿을만한곳에서 하세용",,,
"ham	사진",,,
"ham	샵검색 : #식용유",,,
"ham	식용유 사놓으세요 ㅠㅠ 다",,,
"ham	네 을것같아여",,,
"ham	신성조님이나 체험판님이나 ",,,
"ham	요새는 믿을만한곳도 그런대유 ㅋ 컴xx난리낫슈 ㅋ",,,
"ham	전 체험판님한테 했었어요 조립비가 좀 비싸긴한데 선정리가 아주 깔끔 ㅎ",,,
"ham	100이믄",,,
"ham	배그 오버워치는 충분하쥬",,,
"ham	기다려봐유",,,
"ham	식용유 미리 사둠요 ",,,
"ham	웜마 그래픽 다나와에선 아직비싸네유 ",,,
"ham	이모티콘",,,
"ham	아직도 용팔이 눈치보구잇데요 ㅋ",,,
"ham	급한거 아니면 한두달만 더 참으세용",,,
"ham	6월부턴 확풀릴거에용",,,
"ham	진짜여?",,,
"ham	넹ㅇ",,,
"ham	글츄",,,
"ham	17460",,,
"ham	낙낙님이 정확하슈 ",,,
"ham	지금 가격좀쌘편이네유",,,
"ham	13.010원 ",,,
"ham	17875",,,
"ham	여러분",,,
"ham	저 고막터진거 같아요 ㅠㅠㅠ ",,,
"ham	귀가 멍해요 ",,,
"ham	조카 악찔러오 ㅠㅠㅠㅠ 너무 ",,,
"ham	뭐하시다가",,,
"ham	본인이 하고싶은걸 안해주니까 ",,,
"ham	겁나 악 찔려료 ㅠㅠㅠㅠㅠㅠㅠ",,,
"ham	ㄷㄷ",,,
"ham	 휴 겨우퇴근",,,
"ham	오늘도 퇴근꼴등",,,
"ham	결국 . 못이겨서 단단히 마스크 두개 끼고 놀이터 갑니다 .",,,
"ham	이모티콘",,,
"ham	2호선왤캐북적 대나여.",,,
"ham	5시반엔 나와야되나",,,
"ham	원래그래유",,,
"ham	ㅜㅜ",,,
"ham	이모티콘",,,
"ham	지옥이유",,,
"ham	이모티콘",,,
"ham	이거 딱 형이네요",,,
"ham	",,,
"ham	부러6시안나오고 더햇는데",,,
"ham	강남기준 양사이드 지옥조심",,,
"ham	이모티콘",,,
"ham	ㅇㅇ6시에나오믄 못타더라구여",,,
"ham	환영합니다???? ",,,
"ham	안녕하세요",,,
"ham	??공지 읽어주시고 하트꾹?",,,
"ham	이모티콘",,,
"ham	샵검색 : #대구 봉덕시장 화재",,,
"ham	어서오세요",,,
"ham	헐",,,
"ham	대구여아프지마 ㅠㅠ",,,
"ham	사진 11장",,,
"ham	밤은 쌀쌀해여 두툼하게입그 다녀오세요 ",,,
"ham	환영합니다???? ",,,
"ham	사진 6장",,,
"ham	사진",,,
"ham	오예 친구없다고 어가제욬",,,
"ham	안녕하세요",,,
"ham	??공지 읽어주시고 하트꾹?",,,
"ham	혹시 키트 양성 병원 음성 뜨신분 계신가요?",,,
"ham	가 병원 음성떴다고 안심하시는데. 저만 불안해함요ㅠㅠ",,,
"ham	3700원 무배",,,
"ham	곰표X올반 핫도그 10봉 세트 외 9종(곰표 식혜 증정)",,,
"ham	이런 경우 은근 많아요",,,
"ham	컴터 잘모르시면 믿을만한 오프라인 찾아보시는게…",,,
"ham	허수아비 신성조 등등",,,
"ham	가까우신데로",,,
"ham	ㅋ다행이닼ㅋ",,,
"ham	18900",,,
"ham	사진",,,
"ham	샵검색 : #편의점결제 핸드폰",,,
"ham	헐 . 조심해야겠다 ",,,
"ham	ㄷㄷㄷㄷ",,,
"ham	그러니깐 입원할때 필히 자물쇠 있는곳으로 가야해요",,,
"ham	어휴 저러고싶을까 ㅉㅉ ",,,
"ham	와",,,
"ham	그리고 휴대폰 잠금은 기본",,,
"ham	진짜.휴.넘하네.진짜",,,
"ham	제 친구는 나이 30먹고 호텔에서",,,
"ham	정말 도둑는 갱생 불가능이에여",,,
"ham	헙",,,
"ham	헐",,,
"ham	헐",,,
"ham	2960",,,
"ham	8780",,,
"ham	4390 1.04kg",,,
"ham	사진",,,
"ham	ㅠㅠ좀 괜찮은 밀키트 뭐가잇나요?? 밀키트를 많이안먹어봐서",,,
"ham	밥으로 먹기좋은거요!",,,
"ham	종류가 너무많아서 모가 맛있는건지 모르겠어요ㅎㅎ",,,
"ham	전 심플리쿡 잘먹어요",,,
"ham	스테끼요",,,
"ham	인기많고할인도마니해여",,,
"ham	아근데 3일날취업신고어가니깐 3월건보료 제가내내욬ㅋ.1일기준으로책정된다며",,,
"ham	지역건보진짜 많이 내던데요ㄷㄷㄷ",,,
"ham	 그러니까여 ㅋ 전화함 왜내가내여",,,
"ham	그동안 월말취업해서",,,
"ham	몰랏엇음",,,
"ham	사진",,,
"ham	우와 김치찜이에요?",,,
"ham	도주형 나도",,,
"ham	ㅋ",,,
"ham	네넹 고기넣고 김치찜 했어용",,,
"ham	사진",,,
"ham	헤 ",,,
"ham	도주형 델꼬가는인간은 복터진인간",,,
"ham	오우",,,
"ham	이모티콘",,,
"ham	진짜 아가씨가 요리를 왜케잘해요~~~",,,
"ham	김치찜 미쳤네여 ㅠ",,,
"ham	주부9단ㅎ",,,
"ham	도주형 비혼이라고 ㅠㅠ",,,
"ham	고기 뭘로해야 맛있어요? 앞다리살인가",,,
"ham	에 묵은지가 없당ㅠ",,,
"ham	앞다리살맛있어영!?",,,
"ham	!!",,,
"ham	이모티콘",,,
"ham	저거 앞다리살 아니에요??",,,
"ham	마자요 ㅋ",,,
"ham	gs적립금 확인해보세요ㅎ",,,
"ham	물음표잘못나왔어요 ",,,
"ham	와!!!!!",,,
"ham	헐 김치찜 어캐만드는지 방법알려주세여ㅠㅜㅠㅠ 진짜 너무 먹고싶어요. ",,,
"ham	밥 두공기 뚝딱",,,
"ham	는 국물는 따로 육수로 했어영 ",,,
"ham	도주님 사진찍는거 빼고 다잘하시는듯ㅋ",,,
"ham	대부분 만드는과정이 고추장 된장이 할미꺼라 말하기가 ㅋ",,,
"ham	ㅋ도주님 나이가 궁금하다",,,
"ham	",,,
"ham	저 맛난 등갈비 김치찜을 플레쉬 켜서 찍으시다니",,,
"ham	30살 처자래유 ",,,
"ham	나보다도 더 잘함요",,,
"ham	헉 30살이요? 저보다 어린데 손이 야무져요",,,
"ham	진짜요? 몰랏어여 ㅋ",,,
"ham	저 써리원이영 ",,,
"ham	31 ㅋ",,,
"ham	아차아차",,,
"ham	ㅋ",,,
"ham	갑자기 배스킨 먹고 싶네",,,
"ham	이모티콘",,,
"ham	이모티콘",,,
"ham	이모티콘",,,
"ham	리형",,,
"ham	여기막내왓네요",,,
"ham	이모티콘",,,
"ham	맛있겠당",,,
"ham	ㄱ",,,
"ham	이모티콘",,,
"ham	핫딜방 다람쥐가문 4형제",,,
"ham	요리해먹는게 맛나죵",,,
"ham	이모티콘",,,
"ham	독수리5형제였슈???",,,
"ham	",,,
"ham	가문겴성 축하하유",,,
"ham	독수리5형제ㄷㄷ",,,
"ham	축하드리유",,,
"ham	핫딜방 독수리5형제",,,
"ham	핫딜방 좋아요",,,
"ham	다람쥐가 복제가되네유",,,
"ham	이모티콘",,,
"ham	ㅋ다람쥐 너무 귀엽네요!",,,
"ham	이모티콘",,,
"ham	독수리5형제 맏형으로써",,,
"ham	이모티콘",,,
"ham	제가맏형이유?",,,
"ham	아닐걸유~?!~!?~",,,
"ham	이모티콘",,,
"ham	8770원 무배",,,
"ham	그럼.조이형?",,,
"ham	9980원 무배",,,
"ham	3650원 ",,,
"ham	이 선물 어때요?(꺄아)",,,
"ham	다람쥐 ?? 가문?",,,
"ham	이모티콘",,,
"ham	사진",,,
"ham	https://smartstore.naver.com/sand-shop",,,
"ham	결론 비쌈",,,
"ham	신생브랜드 올세일한데염",,,
"ham	",,,
"ham	17",,,
"ham	63% 21",,,
"ham	환영합니다???? ",,,
"ham	안녕하세요~^^",,,
"ham	21",,,
"ham	[일류농사꾼",,,
"ham	[동원",,,
"ham	[대용량",,,
"ham	간편한 한끼",,,
"ham	7",,,
"ham	13",,,
"ham	이거 드셔보신 분 계신가요?",,,
"ham	2600원",,,
"ham	39% 177",,,
"ham	리얼후기 궁금해요~",,,
"ham	사진 2장",,,
"ham	사진",,,
"ham	응모이벤트네여",,,
"ham	https://link.coupang.com/re/CSHARESDP?lptag=CFM25990039&pageKey=2044943750&itemId=3476622927&vendorItemId=71462940500",,,
"ham	16900원",,,
"ham	오",,,
"ham	양 어때요?",,,
"ham	사진",,,
"ham	헉헉",,,
"ham	헉. ㅠㅠ",,,
"ham	반짝반짝 티니핑 스쿨 캐치티니핑 시즌2 메인 장난감",,,
"ham	89",,,
"ham	[티몬",,,
"ham	사진",,,
"ham	[SSG.COM]",,,
"ham	국민카드 154만원",,,
"ham	달봄이랑 미친듯이 뛰어다니다 왓슈 ",,,
"ham	@달봄이팬클럽 ",,,
"ham	사진",,,
"ham	결국 달봄이능",,,
"ham	8시반밖에 안댓는데.",,,
"ham	사진",,,
"ham	개뻗",,,
"ham	상팔자",,,
"ham	이모티콘",,,
"ham	정답!",,,
"ham	사진",,,
"ham	나는. 또. 녹입니다 ㅋ",,,
"ham	환영합니다???? ",,,
"ham	아주 성한데 업눈 손목아지 ㅠ",,,
"ham	코로나 걸리신 분한테 마켓컬리로 뭐사드림 좋나요??",,,
"ham	ㅠㅠ",,,
"ham	뭐든 사드림 조켓쥬",,,
"ham	힣",,,
"ham	뜨끈목이편한거",,,
"ham	어머님이셔서… 암거나 사드리기두 ㅠㅠ",,,
"ham	전 과일 받았을 때 좋았어요",,,
"ham	손질 딸기랑 메론",,,
"ham	넵 과일요!",,,
"ham	아 바로드실수있게",,,
"ham	홍삼",,,
"ham	네네 배민에 많아욤",,,
"ham	보건소에서 코로나 검사하면 바로나오지않나요????",,,
"ham	저는 아부지 코로나 확진받고",,,
"ham	요즘 참외드셔보신분?",,,
"ham	3일뒤 연락준다햇다던데",,,
"ham	이게맞는건지.",,,
"ham	있으신가요?",,,
"ham	시댁에 설렁탕 보냇슈 배민으로",,,
"ham	잉 요즘은 바루나오든데ㅠ",,,
"ham	이모티콘",,,
"ham	pcr도 담날 나오는디",,,
"ham	요",,,
"ham	설렁탕!!",,,
"ham	맛어때요?ㅎ",,,
"ham	맛잇어죽어유",,,
"ham	사진",,,
"ham	오우ㅎ",,,
"ham	오늘도 옴 ㅋ",,,
"ham	와",,,
"ham	어디서삿어요???",,,
"ham	카카오딜",,,
"ham	그쵸??ㅡㅡ 뭔가이상하네요",,,
"ham	맛있겠어요ㅠ",,,
"ham	어르신이라고 ㅡㅡ",,,
"ham	얼마주셨어요?",,,
"ham	보겅소 일 제대로 안햇!",,,
"ham	담날에나오는게맞는디.",,,
"ham	시아버지 격리중이라서 반찬이랑 죽이랑 과일좀 갔다드릴려구ㅎ",,,
"ham	사진",,,
"ham	요건디",,,
"ham	포장 정성스럽네요",,,
"ham	톡딜 15900원에",,,
"ham	오우 실합니다ㅎ",,,
"ham	500원 할인",,,
"ham	1000원은 톡딜쿠폰 이방에서 낙낙님이 그냥 주셔서",,,
"ham	1500원 할인받고 사소 14400원에 삿도용ㅋ",,,
"ham	히히",,,
"ham	6900원 무배",,,
"ham	웁스님 톡딜 찾아봐요 저는 지금 톡딜 끝낫는대",,,
"ham	톡딜에 참외 잇음 내가 톡딜쿠폰 드릴게요 1000원 더 싸게 살 슈 잇음 ㅋ",,,
"ham	아 내일 아버님 사다드릴라구ㅎㅎ",,,
"ham	물어봣어요ㅎ",,,
"ham	ㅋ",,,
"ham	아항",,,
"ham	코니님 덕분에 싸게 잘 산것같아요~",,,
"ham	참외 맛나유 아주달구 조아유 ㅋ",,,
"ham	요즘 당도어쩌나싶어서요ㅎ",,,
"ham	네 감사해요ㅎ",,,
"ham	네잉ㅋ",,,
"ham	국카결제하면 154에용 ?",,,
"ham	어떻게 154가나옹징. ??",,,
"ham	5%쿠폰받고 국카사용하면 154만원",,,
"ham	남한산성 화재낫나보네요",,,
"ham	사진",,,
"ham	넹 불났어요",,,
"ham	엌",,,
"ham	헉",,,
"ham	헉",,,
"ham	전 사전예약 했는데 아직도 안오네요ㅠㅜㅜ",,,
"ham	헐.",,,
"ham	저거 산불이져?",,,
"ham	헉",,,
"ham	에궁 어찌다가ㅜㅜ",,,
"ham	헐?",,,
"ham	[동원",,,
"ham	하남인가요? 재난오던데",,,
