index,문자내용
1,엄마 바빠 ?
1,나폰액정나가서 수리 맡겼어
1,폰수리맡기고 컴퓨터로 접속했어ㅠㅠ
1,저녁쯤 대야폰 찾을수 있대
1,엄마
1,지금 인터넷 뱅킹가능해 ?
1,일땜에 돈보낼곳이 있는데 공인인증이 안되서 그래
1,폰찾는대로 바로 보내줄께
1,엄마~ 나폰 떨어뜨려 액정나가서 수리맡겼어..이번호가 임시폰이라 통화 안돼고 문자만 가능해~ 부탁할꺼 있으니 답장줘~
1,엄마나 폰떨어 뜨른데 액정이 깨져서5맡것어 지금 통화가 안돼서 피씨로 문자하는거야 부탁할거있어 여기로 문자줘
1,폰떨어르려서 액점 나갔어 .. 내일 폰수리 끝나고 찾을수 있어
1,엄마꺼로 인증받고 해도돼?
1,엄마 나 지금 인터넷으로 회원가입하고 구매할거 있는데 폰 고장나서 못하고 있어~
1,엄마 나아까 급히 편의점 갈려다가 폰떨거뜨렸어 휴대폰 액정나가서 AS센터에 맡기고 인테넷으로 문자보내는거야 부탁할거 잇어서 그러는데 보면 문자줘
1,엄마 나지금 폰수리중이야 잠시 인테넷으로 메시지 보내고 있어 나지금 급히 구글 기프트상품권 필요하는데 폰때문에 구매를 못하고 있어
1,엄마 나 후빈 폰떨어뜨려 액정나갔어 임시폰받은건데 문자만가능 부탁할거있어 문자줘
1,엄마.전에 이마트상품권 신정한거있는데 내가폰인증이안돼 인증지금다시하고받아야돼서 엄마대신인증좀해줘
1,계좌 인증하고 받아야돼서 엄마 어느은행계좌있어?잔액없어도가능
1,엄마 아무은행에서 사용하는 계좌번호 알려줘 잔액 필요없고 인증만 받으면돼
1,엄마 내가 지금 인증해야돼
1,엄마 내가 지금 인증해야돼.아무은행에서 사용하는 계좌번호 여기로 숫자로 알려주면 돼.잔액은 필요없고 인증만 받으면 돼.
1,엄마한테 부탁할꺼 있는데 시간돼 ?
1,이거 문자나라로 예전에 가입해놧던 번호야 통화가안되고 문자만 가능해
1,엄마 편의점가서 구글기프트카드20만원권 4장만 먼저 구매해줘
1,내일 폰수리 끝난다고 하니까 그때 폰찾고 바로 이체해줄께
1,엄마 나야 폰 액정나가서 센터에수리 맡기고 급한대로 예전에 내 명의로 가입해났던 문자나라로 문자하고 있어 피시용으로 문자만 가능해 부탁이 잇어서 문자했어 확인되는대로 답줘
1,엄마 다름아니라 지금 상품권 좀 필요한데 엄마 대신먼저 구매해줄수있어?
1,알았어 그럼..ㅠ 나절로 해결볼게
1,엄마바빠? 폰액정이 나가서 인터넷 문자로 보내고 잇어 급하게 부탁할일이 있는데 보면 답장줘
1,[Web 발신] 엄마. 이거 돈버는거야 구글기프트 15만원권 18만원에 온라인으로 팔고있거든 없어서 못팔정도야
1,아빠 나 폰 고장나서 AS 맡기고 문자캐슬싸이트로 문자하고 있어 부탁할게 있으니 문자줘…
1,아빠 나 폰 액정깨져서 수리맡기고 임시폰으로 문자했어 보면 답장줘요
1,임시폰이라 통화제한이 깔려있어서 아직은 문자랑 인터넷밖에 안되요 ㅠ지금 바뻐요? 부탁 하나만 해도 될가요 ?
1,혹시 민증이랑 신용카드 갖고있어여? 폰보험청구 해야 되는데 폰인중이 안되서 잠깐 확인인증받아야 될거 같은데
1,알겠어 편의점에 아마 다판매 할거야
1,엄마 나야 폰고장이라서 수리 맡기고 부탁할거 있어서 문자했어 지금 컴터로 피시용 문자나라로 사용하고 있어 메세지 글 보면 답장줘~
1,엄마 나 폰액정깨졌어 이번호 사용하니깐 문자 확인 하면 답장줘..
1,엄마 나 폼고장나서 수리 맡겼어. 피시용이라 문자안 가능해. 뭔일 있으면 이쪽으로 문자줘~
1,아빠~핸드폰 고장나서 수리중이야 이번호로 카톡추가하고 톡줘 새로만든 카톡이야 부탁할거 좀 있어~
1,아 빠 부탁할거 폼 있어 그러는데 폰 고장으라 통화가 안돼 이번호로 톡추가하고 톡줘
1,아빠 나 휴대폰 액정 나가서 as센터에 맡겻어. 폰이없어서 통화가안되니까 사이트에서 문자 보내는거야 부탁할거 잇어서 그러는데 보면 문자줘
1,엄마 지금바빠? 내 폰 액정나가서 수리맡기고 피씨로문자하고 있어 시간되면답장줘
1,"엄마, 나 딸 ^^"
1,아침에 출근하다가 핸드폰 액정이 깨져서 대리점에 맡겼더니 급한 연락할 때만 쓰라고 빌려줬어. 문자랑 카톡만 돼
1,엄마 나 휴대폰 고장나서 가까운 센터에 수리맡기고 급한대로 전에 가입했던 문자나라에서 보내는거야. 전화는 안되니깐 문자줘~
1,엄마 머해.….?지금 폰액정 나가서 폰 센터에 맡기고 피시로 전에 가입했던 문자나라로 문자중이야ㅜㅜ 문자 확인되면 답장줘
1,급하게 다니다가 폰 떨어드렸어 ㅠㅠ
1,엄마 난데 폰 액정 고장나서 지금 피시용 문자 어플로 하고있어. 문자 보면 답장줘ㅠㅠ
1,"엄마 나 휴대폰 교장나서 수리중이야 급히 인증 받을거 있어서 피시용으로 문자했어. 피시용이라 문자만가능해,문자보면 답장줘"
1,아니 엄마가 올필요없어 그냥 편의점가서 사고 문자주면돼 ㅠㅠㅠ 어려울거없어
1,지마켓 쿠폰이랑 교환한다고
1,"[국외발신] okmall [해외배송] xxx님 3월 14일 975,000원 결제완료 물류센터:050-####-####"
1,엄마 나야 폰고장이라서 수리 맡기고 부탁할거 있어서 문자 했어 지금 컴터로 피시용 문자나라로 사용하고 있어 메세지 글 보면 답장줘~
1,엄마 나야.폰 화면 고장나서 수리보냈어ㅠ ㅠ이번호로 카톡추가하고 톡줘
1,[Web발신] 엄ㅁ ㅏ~ 내 폰 땅에 떨궈 전원이 안켜정~지금 ㅂㅏ 빠?급하게 할꺼 잇는데~ 여기로 문자 줘~
1,어머님이 자녀님 보험 점검좀 해달라고 하셔서~ 연락드렸어용~ 제가 본안인증을 받아야~전산으로 조회가 가능해서요~ 문자로 가는 숫자6자리 알려주심 되거든요~ 가능하실때 연락주세요 ^^
1,[Web발신] 엄마 난데 여기로 답장줘 핸드폰액정 고장나서 수리맡겼어
1,"[주문하신 결제금액] 코드번호 3*5* KRW 963,200 결제가 완료되었습니다 문의센터 050-####-####"
1,방금 수신한 문자메시지는 해외에서 발송되었습니다.
1,"[국외발신] =해외 구매= 승인코드: 7**4 [KRW 959,000] 결제승인완료 고객센터 070-####-####"
1,"[Web발신] (주)다날 인증번호 38**** 300,.000원 구메완료 본인아닐 경우 소비자보호센터 문의 02########"
1,엄마 바빠? 휴대폰 고창나서 센터에 수리말기고 피씨 문자나라로 보내는거야 통화는 안되고 문자만 가능해 확인하는대로 문자줘
1,아빠 나 폰액정 나가서 수리 맡겼어 이번호가 임시사용하는거라 문자만 가능해 부탁할거있으니 답해줘
1,아빠 나 폰 고장나서 센터에말겼어 문자보면 답장줘
1,[쇼핑365] xxx님 해외구매517** USD390$ 구매완료 본인 아닌 경우 소비자센터 문의 02########
1,방금 수신한 문자메시지는 해외에서 발송되었습니다.
1,엄마 나야 폰액정나가서 수리맡것어.보험처리 가능한데 수리맡겨서 인증번호를 못받아 엄마폰으로 받아도돼?
1,폰수리 맡기고 컴터로임시무료문자하고 있 는거라 통화가 안돼 ㅠㅠ
1,엄마 나 폰고장나서 매장에 수리 말기고 지금 전에 문자나라 나의명의로 가입한거로 문자하고있어 pc용이란 문자만 가능해 부탁활거있어서 문자햇어 문자줘엄마
1,엄마 나 폰액정이 나가서 수리 맡겼어 이번호가 임시사용하는거라 문자만 가능해 부탁할거있으니 답해줘.[M1]
1,엄매 나 지금 매장에 있어 액정때문에 보험 가입하고 통신사 인증받아야 하는데 인증번호확인이 안돼서 엄마명의로 해야돼.[M1]
1,엄마 안 와도 돼 10분이면 끝나 빨리 수리 맞겨야해[M1]
1,엄마 나야 폰 액정나가서 수리맡겼어보헝처리 가능한데 인증번호를 못받아.엄마폰으로 받아도돼?
1,엄마 내꺼 핸드폰 액정나가서 A.S 센터에 맡겼어~ 임시폰으로 문자했어 이번호로 통화안돼 문자확인하면 여기로 답장줘
1,"[국외발신] [주문하신 결제금액] 코드번호 3*8* KRW 963,200 결제가 완료되었습니다 문의센터 050-####-####"
1,아빠 나 폰액정깨져서 A.S 맡기고 임시폰 대리받아 연락했어 통화안되니까 문자 확인하면 답장줘
1,엄마~ 나폰 떨어뜨려 액정 나가서 수리맡겻어..이번호가 임시폰이라 통화 안돼고 문자만 가능해~ 부탁할꺼 있으니 답장줘~
1,엄마나 폰떨어 뜨렸는데 액정이 깨져서as맡겻어 지금 통화가 안돼서 피씨로 문자하는거야 부탁할거있어 여기로 문자줘
1,엄마 바뻐?나 xx이야~폰고장났어ㅜpc로 문자만가능한 상황이라 바쁜거 아니면 답장해줘~
1,본인 등본상주거지로 2회에 걸쳐 해당서류 발송을하였으나 반송으로 인하여부득이하게 통신고지해드립니다.빠른시일에 상기 연락처로연락주시기바랍니다.연락처:
1,엄마 ㄴ ㅏ폰떨궛는데 액정이 깨져서 AS맡겻어 지금 통화가 않돼서 피씨로문ㅈㅏ 하는거야 부탁할거 있어 여기로 문ㅈㅏ줘
1,엄마 난데 폰 고장나서 이번호로 문자했어 확인하면 답장줘 ㅜ
1,"[국외발신] [현대mall] 해외승인 8*3 KRW 496,500원 완료 본인아닐시 피해구제센터 문의:02-###-####"
1,엄마 나야 헨드폰 고장나서 as수리센터에 맡겼어 통화는 안되니까 카톡 pc951 추가하고 말해줘 급하게 부탁할께있어서 그래
1,[Web발신] 엄마폰 고장나서 수리맡겻어 지금 컴퓨터앱 문자중 메시지보면 이 번호 회신 좀
1,[Web발신] 엄마 시간되면 여기로 문자줘
1,아빠 나 폰 고장나서 AS맡기고 문자캐슬싸이트로문자하고 있어 부탁할게 있으니 문자줘…
1,엄마 나 폰고장나서 매장에 수리맞기고 지금 전에 내가 문자나라 내 명의로 가입한거로 문자하고 있어 피시용이라 문자만 가능해 부탁할거있어서 문자 했어 문자줘 엄마
1,폰수리말겠어지금문자나라로문자하는거야
1,지금 잠간편의점갓다올수있어?
1,엄마 나 폰 떨어뜨렸어 액정나가서 수리 맡겼는데 부탁할거있는데 문자줘~
1,엄마 바빠? 휴대폰 고장나서 센터에 수리맡기고 피씨 문자나라로 보내는거야 통화는 안되고 문자만 가능해 확인하는대로 문자줘
1,"[Web발신] (주)유니스 주문번호 (7392) 3월합산금액928,000원 결제완료 문의전화 02-####-####"
1,엄마 나 휴대폰 고장나서 수리센터에 맡기고 임시번호로 문자 하는거야. 통화는 안되니까 지금 010######## 이번호로 카 톡 추가하고 톡줘~
1,엄마 나 폰고장나서 매장에수리 맡기고 전에 인터넷 문자나라 가입한거로 문자하고있어 컴퓨터라 문자만가능해 부탁할거 있어서 문자했어 문자줘      
1,"[Web발신]고객님 승인번호[0563] ACE침대 416,000원 주문 완료 문의: 02-###-####"
1,엄마 나폰고장나서 수리맡기고 전에 신청햇던 문자나라 사이트에서 문자하고있어
1,[국제발신] [세종폐이] 소액결제464.000원 익월 합산요금청구 문의전화####-####
1,엄마 나 폰 떨궜는데 고장나서 수리맡겻어 !! 엄마 지금 뭐해? 바뻐? 바쁘지 않으면 지금 여기 이번호로 문자줘...                              
1,[Web발신] 062-###-#### 서부경찰서 사이버수사팀입니다. 문의 바랍니다. 
1,[Web발신] 112신고가872번으로 접수되었습니다.광주경찰청 112종합상황실(2020-07-31 14:13:23)
1,[Web발신] 긴급구조를 위해 귀하의 휴대전화 위치를 조회하였습니다.(14:11:32) - 광주청 112
1,아빠 내 폰 액정나가서 수리센터에 맡겨 났어 통화가 안돼서 문자 했어 확인 하면 답장줘~
1,"엄마 나 휴대폰 액정나가서 수리센테에 맡기고 인터넷으로 문자하는거야,전화는 안되니깐 카톡 연락처 010######## 추가하고 톡 보내줘~"
1,엄마 나 폰 고장나서 매장에 수리맡기고 전에 인터넷 문자나라 가입한걸로 문자하고 있어 피씨용이라 문자만 가능해 확인되는대로 문자줘 부탁할게있어~
1,지금 시간있어? 부탁할거 있는데 잠깐 편의점이나 이마트 다녀 올수있어?
1,"[국제발신] 해외승인번호[GX58] 상품명:LG 노트북그램 497,500원 결제완료 문의전화:02-###-####"
1,아빠 나 인데 폰 고장나서 pc문자앱으로 문자하고 있어 문자확인하면 답장줘요
1,엄마 나핸드폰 고장나서 센터에맡겼어~통화는 안되니까 KKSS 58 카톡추가하고 말남겨줘 급학게 부탁할게 있어서 그래~~
1,아빠 난데 폰고장나서 이번호로 문자했어.확인하면 여기로 답변좀줘 ㅠㅠ
1,아빠 나 폰 액정깨져서 수리맡기고 임시 이번호 사용중이야 확인하면 문자줘~
1,엄마 바빠? 나 휴대폰 액정나가서 가까운 센터에 수리보내고 지금 컴으로 문자나라에서 보내는거야 전화는 안되니깐 문자줘
1,나폰이 고장나서 통화가안되니깐 지금010########이번호로 카톡추가하고 카톡으로 말남겨줘 급하게 부탁할거 있어
1,엄마 나 휴대폰 고장나서 가까운 센터에 수리맡기고 급한대로 전에 가입했던 문자나라에서 보내는거야. 전화는 안되니깐 문자줘~
1,엄마 현금잇어?? 15만권 다섯장만 구매해줘. 카드결제는 안된다고 하던데
1,"[국제발신] [모빌리언스] 인증번호5398 426,000원 구매완료 본인아닐 경우 소비자보호센터 문의:02-###-####"
1,엄마 나야 핸드폰 액정이 깨져서 수리맡겻어 이번호로 카카오톡추가하고 톡으로 말해줘 이거임시폰이라 그래
1,"[해외직구] 손상철고객님 920,600원 결제완료(PayPal) 전기스쿠터 출고중입니다 고객센터:02-###-####"
1,엄마 난데 안 바쁘면 여기로 문자좀줘~ 폰고장났어 ㅠㅠ
1,아빠 나 지금 폰 고장나서 수리중이야.통화는 안되니까 여기에 문자해줘. 부탁할꺼 있어.
1,언니 바뻐?
1,폰이 고장나서 AS맡꼇어 지금 pc버전이야
1,언니 나 지금 급하게 송금해야하는데 갑자기 공인인증이 안돼서 못하고 있어
1,언니 나 대신 먼저 90만원 송금해줘 잇따 오후에 갱신되는대로 보내줄께
1,나 지금 폰 고장 떄문에 컴으로 문자나라 가입한거라 번호는랜덤이야 엄마
1,엄마 나 폰 고장나서 수리센터에 맡기고 임시번호 카톡 아이디 fac135 추가하고 톡줘 급해~
1,엄마 나 폰 액정나가서 수리맡겼어~ 통화는 안되니깐 010######## 카톡추가하고 말남겨줘~임시카톡이야
1,"요청하신 결제금액 KRW 959,000 승인번호 8*50 승인 되었습니다 고객센터 문의 050-####-####"
1,방금 수신한 문자메시지는 해외에서 발송되었습니다.
1,엄마 난데 핸드폰액정나가서 수리맡기고 컴퓨터로 문자하고있어부탁 잇으니까 문자 확인하면 답장줘~
1,[FW]제목없음 에디터님 안녕하세요! 법인전문기업 제이애드 팀장 정지훈 입니다 섭외차 연락드렸습니다 잠시 말씀 나눠볼수 있을까요?
1,"일상,제품리뷰,건강등 원고 드리면 운영자님이 선택해서 올리고 하루에 2~3건정도 딱1분투자해서 건당 만오천원~이만원 제안입니다"
1,주제는다양해서 선택하실수가있고 그대로올리기때문에 엄청간단해요
1,다들요새 월평균200정도가시더라구요 요샌안하는블로거님들이 없으시더라구요 본업까지해서500정도 가져가시는데 어떠신거같아요?
1,엄마 나 경모 폰떨어뜨려 액정나갔어 임시폰받은건데 문자만가능해.부탁할거있는데 문자줘
1,ㅠ엄마.전에 이마트상품권 신청한거있는데 내가폰인증이안돼 인증지금다시 하고받아야돼서  엄마대신인증좀해줘
1,[Web발신] 엄ㅁㅏ나야. 폰 고장나서 통화안돼 시간나면 이번호로 문자해줘..
1,엄마~나야 폰고장땜에 급하게 부탁할거 있어 이번호로 문자줘~
1,[국제발신] 010 #### #### 번호변경했어 카톡줘 4월초쯤 밥이나가치먹장 카톡해 ㅋㅋ
1,"엄마 난데 폰수리맡겼어,이번호 카톡추가하고 답변줘~"
1,"[국외발신] [아이비몰] 해외체크 xxx님 876,000원 결제완료 본인사용아닐시문의 전화 050########"
1,아빠 나 휴대폰액정이 깨져서 폰수리 맡기고 임시폰으로 문자하고 있어. 문자를확인하면  여기로 문자줘.
1,나 지금 as센터주변이야~ 아빠 뭐하고 있어? 바뻐?
1,[국제발신] 010 #### #### 나 폰번호 바꿧어~ 내 번호 저장하고 카톡줘 오늘 주말인데 밥이나먹게 연락해
1,엄마 난데 폰 액정 깨져서 수리맡겻어 이번호로 카톡 추가해서 톡으로 말해줘 이거 임시폰이라서 그래
1,"[국제발신] [IB몰] 해외체크 xxx님 876,000원 결제완료 본인사용아닐시문의 전화050########"
1,제목없음 아빠 나 폰 액정나가서 AS맡기고 잠시 대리폰으로 문자만 가능해 문자확인하면 여기로 답줘~~
1,"xxx님해외승인(56**)\960,590원 결제완료03/19 12:40배송예정배송문의:02-###-####"
1,"[국제발신] [IB몰] 해외체크 최정원님 876,000원 결제완료 본인사용아닐시문의 054-###-####"
1,[Web발신] 엄마 난데 폰 수리맡겼어ㅠㅠ이번호로 문자줘~
1,ㅇㅏ빠 난데 지금 폰 화면깨져서 수리 맡겻어 문자 확인하면 여기로 문자해줘~
1,"[국제발신] xxx님 [해외구매] 1,080,000원 결제완료 03/14 11:35배송예정 문의:050-####-####"
1,엄마~난데 폰화면이 고장나서 수리맡겻어 이번호로 카톡추가하고 톡줘
1,엄마 나 망가져서 폰수리말겼어 임시폰받은거라 통화안되고 문자만가능해 부탁할꺼있는데 확인하면 문자줘
1,아빠~내폰수리맡겨서 통화는안되고 문자한번호로 톡추가해서 문자해줄래~~
1,"엄마,,내꺼 핸드폰 망가져서 수리 보냈어...ㅠㅠ 이번호로 카톡추가하고 톡줘."
1,엄마 내폰 액정이 나가서 수리 맡겼어 ㅠㅠ 이번호 저장하고 문자줘~~
1,엄마 나 폰떨어뜨려서 액정나갔어.. 부탁할거 있어서 그러는데  문자 확인하면 답장줘..
1,[국외발신] 010 #### #### 번호변경했어 카톡줘 3월중순쯤 밥이나가치먹장 카톡해 ㅋㅋ
1,[국제발신] 010 #### #### 전화번호 바껏어 내 번호 저장하고 카톡줘 주말인데 같이 밥이나먹자~
1,엄마~ 나 방금 폰 액정 떔에 as 맡기고 임시용 문자 폰으로 문자했어~ 엄마 이번호 통화안돼 확인하고 문자줘~
1,"[국제발신] [주문하신 결제금액] 코드번호 3*7* KRW 963,100 승인완료 문의센터 031-###-####"
1,"[국외발신] xxx님 [해외구매] 1,198,000원 결제완료 03/14 11:35배송예정 본인아닐시 문의:02-###-####"
1,"[국외발신] xxx님[아마존]승인안내:948,000원 결제완료(본인결제아닐시 소비자보호원 050-####-#### 로 연락바랍니다)"
1,[국외발신] (주의)최근 해킹으로 인한 타인명의 사기가 늘고있습니다.의심사례 발생시 한국소비자원 050-####-####로 신고바랍니다
1,"[국제발신] -해외결제- 승인코드:[5**6] KRW:980,720원 완료 본인 구매 상품아닐시 즉시 신고요망: 050-####-####"
1,"[국외발신] okmall [해외배송] xxx님 2월25일 975,000원 결제완료 물류센터:050-####-####"
1,아빠 나 지금 핸드폰 액정이 깨져서 AS센터에 맡기고 임시폰으로 문자하고 있어. 문자 확인하면 여기로 바로 문자줘~
1,엄마 나 폰 먹통돼서 수리 맡겼어. 급히 부탁할거있어서 그러는데 답장줘.
1,아빠 난데 핸드폰 액정이 나가서 지금 피시용 어플로 하고있어요. 문자확인되면 여기로 답장주세요.
1,"[국외발신] xx님고객 [해외구매] 956,000원 결제완료 02/28 11:25배송예정 국내문의:02-###-####"
1,[국제발신] [GL몰] 해외승인 xx님 969000원 결제완료 본인요청 아닐 경우 문의 050-####-####
1,"[아마존] 해외승인 xxx님 KRW 840,000 체크결제 본인요청 아닐경우 소비자원 신고:070-####-####"
1,방금 수신한 문자메시지는 해외에서 발송되었습니다.
1,"[국제발신] [아마존] 해외승인 xxx님 KRW 840,000 체크결제 본인요청 아닐경우 소비자원 신고:070-####-####"
1,[국제발신] [GL몰] 해외승인 xxx님 969000원 결제완료 본인요청 아닐 경우 문의 050-####-####
1,"[국제발신] pay쇼핑 1,047,420원 결제완료 상품배송문의:053-###-####"
1,"[국외발신] xxx님 [해외직구] 876,000원 결제완료 본인요청 아닐경우 문의전화 : 0505 ### ####"
1,"[국제발신] pay쇼핑 1,047,420원 결제완료 상품배송문의:053-###-####"
